integrated_index,integrated_user_id,integrated_time_of_day,integrated_category_id,integrated_rating
170,697,1,13052,2.1
171,202,3,17007,2.4
172,834,0,11076,2.6
173,531,2,17031,4.3
174,403,2,19045,2.2
175,467,3,11041,4.7
176,408,0,10017,2.3
177,379,0,11027,4.9
178,275,1,17064,1.5
179,348,1,19002,1.6
180,574,1,11065,3.5
181,729,2,15045,4.3
182,57,3,10026,4.8
183,456,3,17100,3.0
184,619,2,13043,2.5
185,869,1,10022,4.8
186,641,1,17003,3.0
187,639,1,18074,2.7
188,355,2,18007,1.3
189,914,2,17012,1.5
190,800,1,10015,4.9
191,768,0,11169,1.2
192,33,0,17030,3.1
193,556,1,13051,2.5
194,258,2,11178,1.8
195,499,1,19032,1.3
196,622,3,11174,2.6
197,966,3,13143,1.5
198,108,1,13207,1.4
199,494,2,13203,4.9
200,676,3,19033,2.8
201,671,3,18056,2.5
202,236,1,18056,1.6
203,378,2,15035,1.3
204,410,1,17060,1.9
205,640,3,11170,1.5
206,161,2,17096,1.8
207,320,3,15003,2.5
208,99,2,19035,2.7
209,522,0,17033,1.2
210,514,0,13210,3.4
211,85,1,13223,3.1
212,367,0,18010,1.3
213,111,2,13029,1.9
214,7,2,13142,3.4
215,500,2,19053,2.7
216,755,1,11120,1.2
217,158,0,11168,1.4
218,566,3,17063,4.6
219,259,1,19017,1.5
220,600,3,17106,3.0
221,149,2,10018,4.8
222,193,3,13235,3.4
223,864,0,13213,3.7
224,966,2,10006,1.1
225,523,0,11071,1.6
226,545,0,13329,5.0
227,435,3,11160,3.2
228,505,2,19038,4.9
229,206,2,13218,3.1
230,865,1,13044,4.4
231,317,1,13048,2.4
232,755,2,11077,3.3
233,235,3,13097,4.8
234,873,3,17070,4.5
235,82,3,13001,1.5
236,3,0,13097,3.6
237,783,0,17042,1.2
238,800,3,13342,3.1
239,188,0,17018,1.1
240,140,1,17053,4.2
241,556,3,18050,3.0
242,664,2,15047,3.5
243,50,1,15005,1.0
244,385,0,13345,3.5
245,454,3,18044,1.6
246,245,2,15032,4.1
247,7,1,11102,2.0
248,184,3,17105,3.6
249,554,0,10009,2.5
250,84,3,17132,2.5
251,994,0,10047,3.6
252,280,2,11010,2.5
253,91,0,15020,4.6
254,424,2,10006,3.4
255,360,1,11066,4.5
256,440,3,13286,2.0
257,668,1,11038,1.7
258,397,1,11174,2.5
259,55,0,13007,2.7
260,518,2,13336,1.4
261,572,2,10040,4.5
262,245,0,13055,4.9
263,60,2,13065,2.3
264,759,2,10014,1.1
265,809,1,11075,4.8
266,171,3,10017,1.1
267,923,2,18060,4.8
268,471,3,13096,3.1
269,102,3,18057,2.5
270,684,0,18030,1.5
271,734,3,17068,4.7
272,853,1,13098,2.6
273,188,3,10016,2.8
274,427,3,10047,3.7
275,95,3,13352,2.4
276,26,2,11126,1.2
277,205,3,19044,3.6
278,282,3,11015,3.4
279,964,1,13020,1.4
280,762,3,15045,4.5
281,730,1,17025,1.3
282,1,0,17015,2.2
283,553,0,13209,1.5
284,981,0,10008,1.6
285,246,2,11027,1.8
286,454,2,10037,3.8
287,21,3,17019,4.3
288,930,2,11014,1.4
289,333,0,11093,4.4
290,124,0,13216,2.1
291,923,3,11009,2.7
292,489,0,18004,1.1
293,225,2,13324,4.5
294,296,2,18040,4.7
295,142,2,11115,4.3
296,3,3,17119,2.6
297,958,2,17068,2.1
298,594,1,11061,3.3
299,277,1,13386,1.6
300,432,0,11071,3.1
301,94,0,11005,2.5
302,731,3,15047,1.1
303,270,0,13065,3.0
304,906,1,15027,3.7
305,762,0,17116,3.6
306,394,0,15042,3.9
307,734,3,13316,3.5
308,843,3,18061,3.8
309,244,1,19048,4.6
310,133,1,17044,3.5
311,277,1,13095,3.4
312,847,2,13053,4.9
313,904,1,15013,4.0
314,112,0,13177,3.6
315,96,0,11053,2.5
316,559,0,17019,2.9
317,611,2,13062,4.8
318,711,1,13106,3.4
319,110,3,13352,3.9
320,920,3,17116,4.9
321,596,3,18069,3.7
322,362,3,11058,1.5
323,187,2,19025,3.4
324,762,1,10030,2.7
325,729,1,19008,4.5
326,872,0,13328,1.7
327,921,3,13059,2.0
328,913,0,14011,3.7
329,723,2,11090,3.2
330,410,0,15043,3.7
331,668,3,11124,3.2
332,255,2,15033,1.7
333,429,0,18001,3.6
334,194,3,18071,4.9
335,389,3,11116,3.2
336,858,3,18035,3.1
337,681,3,18025,2.2
338,303,0,11057,2.9
339,791,2,17123,2.3
340,462,3,10038,3.6
341,548,2,19045,1.0
342,433,0,11073,1.8
343,454,1,18060,1.4
344,789,2,18003,2.8
345,805,2,10010,1.4
346,555,2,13033,2.2
347,255,1,18009,2.4
348,61,3,17090,2.2
349,900,2,17083,4.5
350,958,0,15012,4.2
351,875,1,11119,3.5
352,768,2,11103,1.6
353,801,3,13136,4.1
354,705,2,13134,3.7
355,401,2,10054,3.1
356,483,1,19035,1.5
357,598,3,17092,1.6
358,44,2,17093,1.5
359,890,2,17033,3.3
360,815,2,18006,4.5
361,847,0,17106,3.1
362,882,0,18013,4.7
363,190,3,15038,1.6
364,134,3,11082,3.3
365,167,1,13033,4.9
366,960,0,18010,3.4
367,83,1,17110,4.2
368,441,0,17066,4.2
369,513,1,15014,3.5
370,60,2,11046,4.6
371,407,3,13385,1.7
372,986,0,13213,2.0
373,889,2,13263,4.0
374,618,2,13385,2.9
375,569,2,13002,1.1
376,244,3,13360,3.5
377,482,2,13350,4.6
378,658,3,17103,2.4
379,564,0,13209,3.8
380,624,1,18022,4.2
381,172,0,15018,4.1
382,887,2,15036,1.6
383,362,1,17056,2.2
384,387,3,10027,1.6
385,152,1,17008,2.2
386,330,1,11090,3.5
387,219,3,13073,3.1
388,638,0,17137,3.3
389,972,2,13044,4.3
390,58,3,11046,2.3
391,177,0,17005,3.5
392,748,3,13202,3.5
393,237,1,19032,3.3
394,970,2,18007,2.4
395,287,2,18009,2.1
396,889,2,13138,4.7
397,498,2,17096,1.7
398,394,2,11156,3.5
399,726,1,13075,3.4
400,597,1,19019,4.5
401,455,1,13385,2.1
402,692,0,13348,1.6
403,723,0,15052,2.7
404,603,1,17025,4.5
405,229,2,13014,1.7
406,718,3,13317,1.3
407,392,1,13030,2.7
408,234,0,11071,3.8
409,339,2,19026,4.4
410,975,3,14004,1.6
411,462,1,13205,2.7
412,394,0,17132,3.3
413,183,0,13340,3.1
414,181,1,11135,3.3
415,822,2,13052,1.5
416,967,2,17039,4.5
417,844,0,15014,1.5
418,717,0,17091,2.0
419,302,2,13343,2.3
420,47,0,17112,3.3
421,463,0,11093,3.2
422,338,1,11167,4.3
423,600,1,17090,2.1
424,170,3,13360,1.7
425,752,2,13013,2.5
426,135,2,13054,1.4
427,441,0,17077,3.9
428,205,2,13263,1.7
429,564,1,11116,2.1
430,429,1,17087,3.1
431,772,0,13003,4.9
432,103,1,13011,2.3
433,65,1,14001,2.9
434,95,0,15021,3.5
435,880,3,17049,2.6
436,342,3,13045,1.2
437,797,0,13039,5.0
438,733,0,13050,2.1
439,313,0,11086,4.5
440,451,0,10030,4.2
441,281,0,18039,4.5
442,942,0,13099,4.8
443,438,3,11106,4.4
444,786,3,11022,2.4
445,869,2,13197,2.9
446,943,3,19044,2.3
447,457,3,10054,3.8
448,589,1,11125,4.4
449,506,1,13051,2.9
450,250,3,14002,2.0
451,250,1,13294,3.9
452,260,1,11091,1.7
453,550,0,13004,2.0
454,959,3,11109,4.9
455,766,2,11116,2.1
456,798,2,11055,3.4
457,488,2,19038,2.3
458,758,1,11102,3.1
459,982,3,18035,4.9
460,163,2,11106,1.8
461,135,2,10026,2.6
462,603,2,19006,4.3
463,739,1,13382,4.4
464,32,3,13356,1.8
465,319,1,13055,2.2
466,192,0,11035,2.7
467,439,1,10022,1.2
468,151,3,11100,4.0
469,672,3,11132,2.2
470,590,0,18043,2.6
471,380,2,18033,2.0
472,447,1,17005,1.6
473,979,2,13221,1.0
474,420,2,13192,2.0
475,4,0,13354,3.8
476,661,2,17124,1.4
477,510,1,15024,3.4
478,770,3,18054,2.6
479,49,3,19055,2.5
480,507,2,10051,2.3
481,297,1,10024,4.0
482,399,3,17061,3.5
483,166,2,15048,1.7
484,617,1,10010,1.6
485,352,2,11161,1.1
486,541,0,13340,3.0
487,453,1,13210,2.6
488,843,3,19029,2.0
489,701,0,13145,3.7
490,30,1,11085,3.3
491,784,0,11012,3.0
492,331,3,17072,3.2
493,606,1,10054,1.2
494,643,1,13354,2.9
495,679,3,13210,1.8
496,812,1,11171,3.0
497,244,2,15004,4.6
498,86,1,13377,2.0
499,657,1,17054,4.2
500,988,0,19019,2.3
501,105,2,18024,3.4
502,947,1,10019,2.5
503,899,2,13281,3.3
504,69,3,17093,2.1
505,490,0,10010,3.9
506,290,2,17023,1.3
507,357,0,11128,4.7
508,389,1,11140,2.0
509,314,3,18059,1.1
510,439,3,11125,3.4
511,142,3,13299,4.0
512,501,3,11044,3.0
513,976,0,13017,2.9
514,919,1,13324,4.8
515,989,3,19026,2.0
516,117,2,17025,3.3
517,113,2,11034,4.7
518,225,1,13213,2.1
519,838,3,11146,4.9
520,194,1,11133,2.1
521,345,0,15056,3.1
522,949,2,13193,3.1
523,124,0,17096,4.6
524,198,0,13023,4.7
525,994,1,11128,4.7
526,148,1,19021,3.1
527,629,1,13068,2.5
528,1,0,13035,2.7
529,98,1,18018,4.7
530,967,2,18068,4.8
531,502,3,17073,2.8
532,514,3,13141,4.1
533,132,2,11072,2.7
534,35,3,10004,4.8
535,83,0,10043,2.9
536,456,2,19054,4.2
537,551,0,13152,5.0
538,604,0,11108,1.9
539,708,1,18051,1.9
540,915,0,11146,4.6
541,452,1,15050,4.3
542,578,1,15049,3.5
543,798,3,13386,1.0
544,143,1,18002,1.8
545,743,2,11177,3.3
546,478,2,13296,2.4
547,539,0,18027,2.2
548,854,2,15031,2.2
549,730,2,13322,3.4
550,351,1,11031,3.5
551,235,3,11081,3.0
552,375,2,11013,2.6
553,908,1,14010,1.9
554,764,3,13219,2.1
555,445,1,11149,1.6
556,293,2,13217,2.3
557,332,3,11101,1.1
558,286,0,13194,1.2
559,478,2,11143,4.2
560,569,2,13234,4.6
561,583,0,11103,2.4
562,422,0,15054,1.4
563,408,1,10039,3.0
564,27,0,13234,3.5
565,304,0,11173,4.4
566,664,0,18010,4.2
567,147,3,11173,4.7
568,814,1,14007,3.6
569,65,0,19048,3.2
570,688,1,14004,1.2
571,259,1,13044,3.1
572,263,2,11115,4.4
573,261,3,13029,3.6
574,619,0,13213,3.7
575,721,0,13315,1.5
576,605,0,17045,4.0
577,52,2,13165,1.7
578,801,3,18037,3.4
579,101,0,11042,3.8
580,303,2,13203,4.2
581,844,0,11147,4.2
582,48,3,18023,1.4
583,864,3,17065,3.4
584,265,1,13073,3.6
585,132,0,18075,4.8
586,108,1,10037,2.7
587,285,1,10008,1.3
588,564,2,10010,1.6
589,964,3,18021,4.8
590,530,0,10008,4.7
591,997,0,15051,4.7
592,138,1,18059,4.1
593,107,1,15041,4.3
594,113,1,11116,3.7
595,91,3,13013,2.2
596,205,0,11036,2.3
597,411,0,11114,2.5
598,127,0,17108,4.0
599,306,2,13073,2.6
600,791,1,11009,1.2
601,736,3,13030,1.8
602,753,0,17074,4.4
603,716,1,17008,4.8
604,318,1,11145,1.9
605,371,2,10024,2.4
606,437,3,13020,3.5
607,962,1,18004,3.5
608,770,1,17109,3.5
609,657,0,17100,4.3
610,221,2,17115,2.2
611,679,3,11023,2.9
612,673,1,13338,2.6
613,547,2,13049,2.7
614,989,2,18004,1.1
615,100,1,17009,5.0
616,707,0,19009,1.6
617,512,1,13025,1.6
618,473,0,10016,4.9
619,193,2,17124,3.3
620,982,0,13217,4.3
621,133,3,13192,3.4
622,273,2,11175,4.2
623,387,2,13039,2.1
624,294,3,13335,2.6
625,270,3,13382,1.3
626,586,3,13218,1.7
627,837,1,18012,4.6
628,123,0,15049,3.1
629,780,0,13063,3.4
630,679,3,13102,4.1
631,988,1,14003,2.0
632,353,2,11143,1.1
633,168,2,11039,1.5
634,576,0,19049,2.9
635,516,3,17047,4.1
636,693,2,17026,3.8
637,81,3,10024,4.4
638,113,1,18025,2.8
639,141,2,17134,1.5
640,712,0,17074,1.4
641,847,3,14010,3.0
642,486,1,11061,1.3
643,526,2,13306,1.1
644,45,3,11154,1.7
645,238,0,17139,1.3
646,412,1,11049,1.7
647,376,3,14010,3.4
648,730,0,11104,2.7
649,809,1,15038,1.3
650,272,1,18036,4.1
651,780,2,10010,4.9
652,708,1,11160,4.4
653,924,0,11140,3.1
654,77,1,17070,1.2
655,572,1,15027,4.9
656,915,2,13387,4.0
657,522,3,11108,1.7
658,846,2,17022,1.6
659,544,0,17110,1.2
660,53,0,11134,3.8
661,354,0,18072,3.6
662,712,2,11082,4.1
663,699,1,13015,4.1
664,863,3,14009,1.4
665,833,0,15035,3.9
666,585,2,19047,1.3
667,780,0,13045,2.8
668,256,2,13147,4.9
669,475,0,11059,1.4
670,903,3,17121,1.4
671,293,3,15009,1.8
672,101,2,11167,3.1
673,268,2,13352,4.9
674,75,0,13017,3.4
675,897,1,11156,1.0
676,853,3,17068,3.5
677,538,3,18006,1.1
678,641,2,15014,3.7
679,60,2,11048,1.3
680,722,1,18056,1.2
681,400,0,14010,4.9
682,959,1,11131,2.3
683,24,3,13010,2.8
684,543,2,15002,3.6
685,699,2,18048,3.8
686,337,0,19029,1.3
687,491,1,18073,2.0
688,370,0,18040,4.6
689,643,3,19055,3.8
690,649,2,17082,3.1
691,471,3,10016,1.5
692,92,0,17023,4.9
693,73,1,17081,3.2
694,495,0,13378,3.9
695,13,1,13036,1.4
696,879,1,11087,2.1
697,587,3,13340,1.2
698,186,2,17110,4.9
699,887,2,17024,3.0
700,15,1,17077,2.5
701,843,3,17091,1.8
702,457,3,13323,1.4
703,110,2,19044,1.6
704,309,2,11006,2.0
705,495,1,10054,2.2
706,116,2,11114,1.6
707,541,1,11038,4.1
708,350,0,11072,2.1
709,692,3,13344,3.5
710,112,2,11053,3.4
711,841,1,17033,3.4
712,93,3,11165,4.1
713,143,1,11075,1.8
714,380,0,15050,4.9
715,85,3,15051,1.0
716,74,1,13036,5.0
717,456,2,13058,1.2
718,65,2,11094,1.8
719,865,3,11070,1.3
720,437,2,13023,3.6
721,149,0,13199,2.9
722,861,3,13378,1.5
723,607,3,18018,3.4
724,531,3,13028,1.3
725,536,3,11026,4.1
726,650,0,10024,3.9
727,465,1,17136,1.1
728,257,0,13317,4.1
729,714,0,11172,3.4
730,39,1,11003,1.9
731,57,0,13387,3.3
732,607,3,14006,1.1
733,133,1,11119,1.3
734,250,0,10027,3.9
735,213,1,11134,3.8
736,430,0,13314,3.1
737,177,3,13028,1.7
738,58,1,13315,3.8
739,955,1,18073,2.3
740,455,3,13078,3.8
741,218,2,17082,3.0
742,673,0,13225,3.0
743,304,0,11103,2.6
744,168,2,13020,1.8
745,668,2,13387,4.8
746,936,0,13354,1.7
747,751,2,19039,2.8
748,893,0,18011,2.7
749,607,1,11116,4.0
750,582,0,10047,1.1
751,784,2,15032,3.4
752,912,3,18061,2.9
753,612,0,13281,2.6
754,796,2,15023,3.2
755,482,0,10044,3.0
756,481,1,15043,3.0
757,384,0,14012,4.1
758,788,3,11115,3.6
759,820,0,18035,4.4
760,517,1,13031,2.7
761,778,2,13386,1.8
762,389,2,11008,4.0
763,749,1,11147,1.5
764,922,1,11166,1.5
765,218,1,11135,3.6
766,492,1,18061,3.1
767,441,1,17139,4.4
768,759,0,17011,2.2
769,649,3,18047,3.1
770,190,3,17056,2.6
771,607,3,18002,1.7
772,942,3,17036,4.0
773,247,0,18055,3.7
774,875,3,10013,2.5
775,453,1,17052,2.3
776,83,1,17045,3.9
777,112,1,15047,2.3
778,654,3,15041,4.1
779,65,3,18004,1.4
780,230,3,19054,3.2
781,218,2,18007,1.9
782,719,2,13299,1.9
783,302,1,18057,4.6
784,212,1,15050,3.2
785,885,2,11016,3.2
786,344,3,14010,1.4
787,954,1,10029,2.3
788,872,1,13355,1.3
789,200,0,13208,4.9
790,883,2,19033,3.0
791,564,0,17084,1.0
792,890,3,13018,4.1
793,512,3,11152,4.7
794,783,0,17135,2.7
795,376,1,17041,2.7
796,702,1,11036,1.8
797,502,3,11174,2.3
798,659,3,13221,1.6
799,478,0,10035,1.3
800,587,0,10048,2.8
801,179,0,17054,4.5
802,320,3,17078,2.9
803,738,1,11008,1.9
804,299,2,14007,2.1
805,450,3,13312,1.9
806,843,0,11159,3.5
807,182,1,11172,2.4
808,763,1,18053,4.9
809,191,2,11038,4.2
810,815,0,18034,4.3
811,176,0,11031,4.7
812,409,3,17091,2.5
813,742,2,13066,4.2
814,130,0,17006,2.9
815,183,2,18039,2.5
816,573,1,11163,3.7
817,528,0,15041,1.5
818,653,2,17087,3.8
819,419,1,18069,3.6
820,280,3,15004,2.4
821,758,3,11116,2.9
822,109,2,11084,4.3
823,51,0,13335,3.9
824,544,2,13301,4.3
825,815,1,13147,3.6
826,420,0,17110,4.0
827,542,3,14001,1.8
828,911,3,11024,3.6
829,264,1,13214,2.4
830,179,2,17014,1.1
831,237,3,13075,2.9
832,367,1,11100,1.9
833,686,2,13274,3.0
834,616,0,13152,2.1
835,577,2,11116,2.9
836,160,3,13136,2.0
837,400,0,14015,3.8
838,674,3,15007,4.1
839,478,0,10007,4.2
840,763,0,13380,3.4
841,281,0,10005,1.9
842,552,1,17090,2.6
843,110,3,11091,3.3
844,91,1,11163,3.9
845,512,0,13218,3.8
846,56,2,15028,1.3
847,900,2,13379,5.0
848,167,1,13332,2.8
849,779,1,13043,4.5
850,118,0,13147,3.9
851,666,0,15039,3.9
852,787,3,13212,1.1
853,441,1,14012,1.2
854,795,2,11072,2.2
855,625,3,15047,3.4
856,322,2,11143,2.2
857,614,3,15037,1.9
858,514,3,17016,1.6
859,197,0,10035,3.0
860,705,1,10007,1.8
861,154,0,11097,2.9
862,839,3,11152,3.9
863,881,3,19030,4.8
864,178,0,18022,1.1
865,265,3,10031,4.6
866,947,3,17020,4.6
867,855,2,13273,4.4
868,40,0,15029,3.7
869,393,0,10026,3.2
870,877,0,11131,1.9
871,249,2,11079,2.0
872,474,0,11142,2.2
873,580,0,11018,3.8
874,820,0,13224,3.3
875,613,0,13317,3.9
876,671,2,11154,1.7
877,660,1,11089,3.4
878,296,1,17039,2.3
879,424,3,13332,2.7
880,248,3,17039,4.7
881,825,0,17101,2.2
882,8,2,11011,1.0
883,884,0,17077,3.6
884,134,2,13065,2.4
885,806,0,11129,4.2
886,912,2,11112,3.6
887,395,0,17050,2.2
888,205,1,11063,4.2
889,950,2,13335,3.0
890,616,3,17047,5.0
891,814,3,19054,4.7
892,561,1,11156,4.4
893,490,1,15006,3.9
894,414,2,11126,4.3
895,262,2,11014,1.2
896,928,1,11088,4.1
897,938,2,11037,2.0
898,203,2,19030,2.1
899,719,3,13346,1.9
900,704,2,11107,1.9
901,202,2,13053,3.5
902,252,2,13068,2.3
903,158,3,10003,3.2
904,506,1,13341,1.2
905,901,2,13387,2.0
906,291,3,13028,3.1
907,246,0,11155,4.7
908,784,2,15054,4.0
909,426,2,11022,2.0
910,868,1,10053,2.0
911,359,2,14006,1.8
912,332,1,13335,2.6
913,618,2,13221,1.1
914,768,1,11063,3.5
915,428,1,11144,4.1
916,703,0,17012,3.5
917,912,1,17112,2.5
918,821,1,19047,3.2
919,709,0,11139,2.1
920,4,3,15027,3.0
921,469,3,11124,4.4
922,319,1,13328,2.6
923,630,2,13099,3.3
924,176,1,13138,2.1
925,870,1,13146,2.4
926,176,2,17060,2.1
927,128,2,13288,4.9
928,641,3,13024,3.0
929,467,2,13018,1.6
930,313,1,18045,4.7
931,103,1,13303,3.7
932,135,2,13222,1.3
933,41,3,10005,3.2
934,352,1,11013,2.2
935,127,3,19028,3.5
936,658,1,10039,1.8
937,821,3,13342,4.7
938,298,1,13011,1.7
939,962,1,17033,3.8
940,437,0,11069,2.0
941,268,0,11065,2.7
942,718,2,15002,1.9
943,629,2,17011,4.8
944,742,1,13106,2.0
945,900,2,17127,3.9
946,672,3,18041,4.4
947,515,1,13127,2.9
948,623,2,13142,3.4
949,871,0,13340,2.6
950,56,0,13146,3.5
951,252,3,11087,4.4
952,82,2,18030,3.7
953,589,3,10011,2.5
954,908,0,15054,1.3
955,430,3,13342,1.7
956,971,2,15028,1.4
957,864,2,11029,4.0
958,757,0,10042,3.9
959,854,3,15049,2.8
960,414,0,18057,3.3
961,352,0,13348,3.1
962,67,3,13198,3.6
963,6,3,11045,3.5
964,923,3,19026,1.2
965,637,2,19037,3.1
966,523,2,17048,1.2
967,1,3,19019,1.9
968,514,2,19001,2.8
969,169,0,18025,2.2
970,66,1,19003,2.4
971,592,3,13336,4.0
972,235,2,13066,3.0
973,680,1,17035,4.3
974,383,3,15056,1.8
975,639,3,13205,3.9
976,554,0,14013,3.3
977,127,1,19013,4.9
978,224,2,17066,3.7
979,858,2,18035,1.4
980,187,0,13382,4.9
981,881,0,13014,3.4
982,102,2,13220,1.2
983,585,3,11106,2.0
984,936,0,17117,1.4
985,502,1,17111,1.0
986,11,1,17035,2.3
987,882,2,13222,1.5
988,987,0,11044,3.7
989,440,3,17043,4.0
990,469,3,19056,2.1
991,769,2,11160,4.9
992,983,2,15056,4.3
993,493,2,10008,3.6
994,788,3,11134,4.4
995,82,3,11063,1.8
996,666,2,13387,1.6
997,644,1,11039,2.6
998,969,1,18041,4.1
999,752,2,19023,2.2
1000,2,0,13133,3.6
1001,392,0,13378,1.4
1002,423,0,13148,4.9
1003,509,2,19006,1.9
1004,146,0,17019,4.4
1005,234,0,19008,3.7
1006,708,2,13103,4.1
1007,299,1,13306,1.6
1008,846,2,17054,5.0
1009,612,2,13204,4.1
1010,931,2,13296,4.4
1011,567,2,18074,1.3
1012,548,1,13298,4.2
1013,747,3,17114,3.5
1014,67,1,13014,3.8
1015,216,1,13343,2.5
1016,354,3,10002,1.9
1017,205,0,19026,1.7
1018,848,3,15040,2.9
1019,541,1,17066,1.8
1020,337,3,13203,1.3
1021,137,3,19053,4.9
1022,826,3,17046,3.4
1023,24,0,13041,3.4
1024,45,2,17061,2.9
1025,148,1,10014,2.3
1026,973,1,19048,1.6
1027,921,0,19051,4.9
1028,300,0,17137,1.6
1029,674,1,11096,2.6
1030,901,2,19044,3.7
1031,277,2,18064,1.3
1032,576,3,17036,1.1
1033,497,1,10002,1.9
1034,749,1,13265,1.7
1035,136,3,11150,3.4
1036,488,3,10032,3.0
1037,794,2,10016,3.1
1038,859,1,13236,4.5
1039,588,1,14002,1.6
1040,732,0,18072,3.0
1041,881,1,17029,3.0
1042,79,0,15002,1.5
1043,10,2,18058,4.2
1044,251,3,10032,1.9
1045,721,1,13314,2.7
1046,828,1,18074,3.8
1047,299,0,11026,1.1
1048,175,1,11055,2.4
1049,784,3,17096,2.4
1050,979,3,17041,2.2
1051,108,1,13220,4.3
1052,971,1,15036,3.9
1053,788,1,13079,2.0
1054,135,0,18035,3.6
1055,971,1,13272,1.5
1056,766,3,17056,3.2
1057,72,1,13047,1.7
1058,437,3,17057,2.4
1059,757,1,11107,4.3
1060,532,2,17055,2.8
1061,522,2,11001,4.9
1062,393,3,19040,5.0
1063,108,2,11102,2.9
1064,834,2,17102,2.8
